# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************
#Ground target launch data for RED_MRBM_1
#Generated on Thu Jan 14 13:24:41 2010
#loft_angle burn_time ground_range time_of_flight
88.3500 94.0200 318466.05 362.9744
88.3500 94.0400 318856.18 363.1268
88.3500 94.0600 319246.73 363.2792
88.3500 94.0800 319637.70 363.4317
88.3500 94.1000 320029.11 363.5842
88.3500 94.1200 320420.93 363.7369
88.3500 94.1400 320813.18 363.8896
88.3500 94.1600 321205.86 364.0424
88.3500 94.1800 321598.97 364.1953
88.3500 94.2000 321992.50 364.3483
88.3500 94.2200 322394.09 364.5013
88.3500 94.2400 322788.48 364.6545
88.3500 94.2600 323183.30 364.8077
88.3500 94.2800 323578.55 364.9610
88.3500 94.3000 323974.23 365.1143
88.3500 94.3200 324370.33 365.2678
88.3500 94.3400 324766.87 365.4213
88.3500 94.3600 325163.84 365.5749
88.3500 94.3800 325561.24 365.7286
88.3500 94.4000 325959.08 365.8824
88.3500 94.4200 326357.34 366.0363
88.3500 94.4400 326756.04 366.1902
88.3500 94.4600 327155.17 366.3442
88.3500 94.4800 327554.74 366.4983
88.3500 94.5000 327962.41 366.6525
88.3500 94.5200 328362.85 366.8068
88.3500 94.5400 328763.72 366.9611
88.3500 94.5600 329165.03 367.1155
88.3500 94.5800 329566.78 367.2701
88.3500 94.6000 329968.96 367.4246
88.3500 94.6200 330371.58 367.5793
88.3500 94.6400 330774.64 367.7341
88.3500 94.6600 331178.14 367.8889
88.3500 94.6800 331582.08 368.0438
88.3500 94.7000 331986.45 368.1988
88.3500 94.7200 332398.97 368.3539
88.3500 94.7400 332804.23 368.5091
88.3500 94.7600 333209.93 368.6643
88.3500 94.7800 333616.07 368.8197
88.3500 94.8000 334022.65 368.9751
88.3500 94.8200 334429.68 369.1306
88.3500 94.8400 334837.15 369.2861
88.3500 94.8600 335245.06 369.4418
88.3500 94.8800 335653.42 369.5976
88.3500 94.9000 336069.95 369.7534
88.3500 94.9200 336479.21 369.9093
88.3500 94.9400 336888.92 370.0653
88.3500 94.9600 337299.08 370.2214
88.3500 94.9800 337709.69 370.3776
88.3500 95.0000 338120.75 370.5338
88.3500 95.0200 338532.26 370.6902
88.3500 95.0400 338944.22 370.8466
88.3500 95.0600 339364.38 371.0031
88.3500 95.0800 339777.25 371.1597
88.3500 95.1000 340190.57 371.3164
88.3500 95.1200 340604.35 371.4731
88.3500 95.1400 341018.58 371.6300
88.3500 95.1600 341433.26 371.7869
88.3500 95.1800 341848.41 371.9439
88.3500 95.2000 342271.76 372.1011
88.3500 95.2200 342687.82 372.2583
88.3500 95.2400 343104.33 372.4155
88.3500 95.2600 343521.30 372.5729
88.3500 95.2800 343938.74 372.7304
88.3500 95.3000 344356.62 372.8879
88.3500 95.3200 344774.97 373.0455
88.3500 95.3400 345201.55 373.2032
88.3500 95.3600 345620.82 373.3610
88.3500 95.3800 346040.55 373.5189
88.3500 95.4000 346460.75 373.6769
88.3500 95.4200 346881.40 373.8350
88.3500 95.4400 347302.52 373.9931
88.3500 95.4600 347731.89 374.1513
88.3500 95.4800 348153.93 374.3097
88.3500 95.5000 348576.45 374.4681
88.3500 95.5200 348999.42 374.6266
88.3500 95.5400 349422.86 374.7852
88.3500 95.5600 349846.77 374.9438
88.3500 95.5800 350278.94 375.1026
88.3500 95.6000 350703.79 375.2614
88.3500 95.6200 351129.10 375.4204
88.3500 95.6400 351554.87 375.5794
88.3500 95.6600 351981.12 375.7385
88.3500 95.6800 352407.83 375.8977
88.3500 95.7000 352842.84 376.0570
88.3500 95.7200 353270.50 376.2164
88.3500 95.7400 353698.62 376.3758
88.3500 95.7600 354127.22 376.5354
88.3500 95.7800 354556.29 376.6950
88.3500 95.8000 354993.67 376.8547
88.3500 95.8200 355423.69 377.0146
88.3500 95.8400 355854.19 377.1745
88.3500 95.8600 356285.16 377.3345
88.3500 95.8800 356716.62 377.4946
88.3500 95.9000 357156.39 377.6547
88.3500 95.9200 357588.81 377.8150
88.3500 95.9400 358021.70 377.9754
88.3500 95.9600 358455.07 378.1358
88.3500 95.9800 358888.93 378.2964
88.3500 96.0000 359331.12 378.4570
88.3500 96.0200 359765.94 378.6177
88.3500 96.0400 360201.24 378.7786
